Customer,BIN,ProductID,CardStockID,TagProductID,DPProfileName,MachineProductName,ShipMethod_01,ShipMethod_02,ShipMethod_03,ShipMethod_04,ShipMethod_05,ShipMethod_06,ShipMethod_07,ShipMethod_08,ShipMethod_09,ShipMethod_10,ShipMethod_11,ShipMethod_12,ShipMethod_13,ShipMethod_14,ShipMethod_15,ShipMethod_16,ShipMethod_17,ShipMethod_18,ShipMethod_19,ShipMethod_20,ServiceType,PackageType,WeightOz,ShipDate,FromFullName,FromAddress1,FromAddress2,FromCity,FromState,FromCountry,FromZIPCode,IntFromFacility,BulkCompany,BulkFullName,BulkAddress1,BulkAddress2,BulkCity,BulkState,BulkCountry,BulkZIPCode,FEDEXAccount,FEDEXPhoneNumber,BulkShipMethod_01,BulkShipMethod_02,BulkShipMethod_03,BulkShipMethod_04,BulkShipMethod_05,BulkShipMethod_06,BulkShipMethod_07,BulkShipMethod_08,BulkShipMethod_09,BulkShipMethod_10,BulkShipMethod_11,BulkShipMethod_12,BulkShipMethod_13,BulkShipMethod_14,BulkShipMethod_15,BulkShipMethod_16,BulkShipMethod_17,BulkShipMethod_18,BulkShipMethod_19,BulkShipMethod_20
ANYDAY,543171,10028,,VIRTUAL,P_QRAILS_MC_35_61_SECORA_S_V01_v143,P_QRAILS_MC_35_61_SECORA_S,USPS,USPS_PM,USPS_PMEX,FEDx_FON,FEDx_PMON,FEDx_SON,FEDx_EXP,FEDx_GRND,FEDx_INT_PM,FEDx_INT_EC,UPS_NDAE,UPS_NDA,UPS_NDAS,UPS_2DAE,UPS_2DA,UPS_3DA,UPS_GRND,UPS_WWS,UPS_FRGH,USPS_INT,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_USPS_PMEX,BULK_FEDx_FON,BULK_FEDx_PMON,BULK_FEDx_SON,BULK_FEDx_EXP,BULK_FEDx_GRND,BULK_FEDx_INT_PM,BULK_FEDx_INT_EC,BULK_UPS_NDAE,BULK_UPS_NDA,BULK_UPS_NDAS,BULK_UPS_2DAE,BULK_UPS_2DA,BULK_UPS_3DA,BULK_UPS_GRND,BULK_UPS_WWS,BULK_UPS_FRGH,BULK_USPS_INT
ANYDAY,543171,10033,,,P_QRAILS_MC_35_61_SECORA_S_V01_v143,P_QRAILS_MC_35_61_SECORA_S,USPS,USPS_PM,USPS_PMEX,FEDx_FON,FEDx_PMON,FEDx_SON,FEDx_EXP,FEDx_GRND,FEDx_INT_PM,FEDx_INT_EC,UPS_NDAE,UPS_NDA,UPS_NDAS,UPS_2DAE,UPS_2DA,UPS_3DA,UPS_GRND,UPS_WWS,UPS_FRGH,USPS_INT,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_USPS_PMEX,BULK_FEDx_FON,BULK_FEDx_PMON,BULK_FEDx_SON,BULK_FEDx_EXP,BULK_FEDx_GRND,BULK_FEDx_INT_PM,BULK_FEDx_INT_EC,BULK_UPS_NDAE,BULK_UPS_NDA,BULK_UPS_NDAS,BULK_UPS_2DAE,BULK_UPS_2DA,BULK_UPS_3DA,BULK_UPS_GRND,BULK_UPS_WWS,BULK_UPS_FRGH,BULK_USPS_INT
#ALIGHT,527649,10035,,VIRTUAL,P_QRAILS_MC_35_61_SECORA_S_V01_v143,P_QRAILS_MC_35_61_SECORA_S,USPS,USPS_PM,USPS_PMEX,FEDx_FON,FEDx_PMON,FEDx_SON,FEDx_EXP,FEDx_GRND,FEDx_INT_PM,FEDx_INT_EC,UPS_NDAE,UPS_NDA,UPS_NDAS,UPS_2DAE,UPS_2DA,UPS_3DA,UPS_GRND,UPS_WWS,UPS_FRGH,USPS_INT,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_USPS_PMEX,BULK_FEDx_FON,BULK_FEDx_PMON,BULK_FEDx_SON,BULK_FEDx_EXP,BULK_FEDx_GRND,BULK_FEDx_INT_PM,BULK_FEDx_INT_EC,BULK_UPS_NDAE,BULK_UPS_NDA,BULK_UPS_NDAS,BULK_UPS_2DAE,BULK_UPS_2DA,BULK_UPS_3DA,BULK_UPS_GRND,BULK_UPS_WWS,BULK_UPS_FRGH,BULK_USPS_INT
#ALIGHT,527649,10036,,,P_QRAILS_MC_35_61_SECORA_S_V01_v143,P_QRAILS_MC_35_61_SECORA_S,USPS,USPS_PM,USPS_PMEX,FEDx_FON,FEDx_PMON,FEDx_SON,FEDx_EXP,FEDx_GRND,FEDx_INT_PM,FEDx_INT_EC,UPS_NDAE,UPS_NDA,UPS_NDAS,UPS_2DAE,UPS_2DA,UPS_3DA,UPS_GRND,UPS_WWS,UPS_FRGH,USPS_INT,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_USPS_PMEX,BULK_FEDx_FON,BULK_FEDx_PMON,BULK_FEDx_SON,BULK_FEDx_EXP,BULK_FEDx_GRND,BULK_FEDx_INT_PM,BULK_FEDx_INT_EC,BULK_UPS_NDAE,BULK_UPS_NDA,BULK_UPS_NDAS,BULK_UPS_2DAE,BULK_UPS_2DA,BULK_UPS_3DA,BULK_UPS_GRND,BULK_UPS_WWS,BULK_UPS_FRGH,BULK_USPS_INT
ALIGHT,527649,10035,,VIRTUAL,P_QRAILS_MC_34_61_ST_TOPAZ_12_V01_v143,P_QRAILS_MC_34_61_ST_TOPAZ,USPS,USPS_PM,USPS_PMEX,FEDx_FON,FEDx_PMON,FEDx_SON,FEDx_EXP,FEDx_GRND,FEDx_INT_PM,FEDx_INT_EC,UPS_NDAE,UPS_NDA,UPS_NDAS,UPS_2DAE,UPS_2DA,UPS_3DA,UPS_GRND,UPS_WWS,UPS_FRGH,USPS_INT,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_USPS_PMEX,BULK_FEDx_FON,BULK_FEDx_PMON,BULK_FEDx_SON,BULK_FEDx_EXP,BULK_FEDx_GRND,BULK_FEDx_INT_PM,BULK_FEDx_INT_EC,BULK_UPS_NDAE,BULK_UPS_NDA,BULK_UPS_NDAS,BULK_UPS_2DAE,BULK_UPS_2DA,BULK_UPS_3DA,BULK_UPS_GRND,BULK_UPS_WWS,BULK_UPS_FRGH,BULK_USPS_INT
ALIGHT,527649,10036,,,P_QRAILS_MC_34_61_ST_TOPAZ_12_V01_v143,P_QRAILS_MC_34_61_ST_TOPAZ,USPS,USPS_PM,USPS_PMEX,FEDx_FON,FEDx_PMON,FEDx_SON,FEDx_EXP,FEDx_GRND,FEDx_INT_PM,FEDx_INT_EC,UPS_NDAE,UPS_NDA,UPS_NDAS,UPS_2DAE,UPS_2DA,UPS_3DA,UPS_GRND,UPS_WWS,UPS_FRGH,USPS_INT,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_USPS_PMEX,BULK_FEDx_FON,BULK_FEDx_PMON,BULK_FEDx_SON,BULK_FEDx_EXP,BULK_FEDx_GRND,BULK_FEDx_INT_PM,BULK_FEDx_INT_EC,BULK_UPS_NDAE,BULK_UPS_NDA,BULK_UPS_NDAS,BULK_UPS_2DAE,BULK_UPS_2DA,BULK_UPS_3DA,BULK_UPS_GRND,BULK_UPS_WWS,BULK_UPS_FRGH,BULK_USPS_INT
ANYDAY,527838,10028,,VIRTUAL,P_QRAILS_MC_35_61_SECORA_S_V01_v143,P_QRAILS_MC_35_61_SECORA_S,USPS,USPS_PM,USPS_PMEX,FEDx_FON,FEDx_PMON,FEDx_SON,FEDx_EXP,FEDx_GRND,FEDx_INT_PM,FEDx_INT_EC,UPS_NDAE,UPS_NDA,UPS_NDAS,UPS_2DAE,UPS_2DA,UPS_3DA,UPS_GRND,UPS_WWS,UPS_FRGH,USPS_INT,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_USPS_PMEX,BULK_FEDx_FON,BULK_FEDx_PMON,BULK_FEDx_SON,BULK_FEDx_EXP,BULK_FEDx_GRND,BULK_FEDx_INT_PM,BULK_FEDx_INT_EC,BULK_UPS_NDAE,BULK_UPS_NDA,BULK_UPS_NDAS,BULK_UPS_2DAE,BULK_UPS_2DA,BULK_UPS_3DA,BULK_UPS_GRND,BULK_UPS_WWS,BULK_UPS_FRGH,BULK_USPS_INT
ANYDAY,527838,10033,,,P_QRAILS_MC_35_61_SECORA_S_V01_v143,P_QRAILS_MC_35_61_SECORA_S,USPS,USPS_PM,USPS_PMEX,FEDx_FON,FEDx_PMON,FEDx_SON,FEDx_EXP,FEDx_GRND,FEDx_INT_PM,FEDx_INT_EC,UPS_NDAE,UPS_NDA,UPS_NDAS,UPS_2DAE,UPS_2DA,UPS_3DA,UPS_GRND,UPS_WWS,UPS_FRGH,USPS_INT,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_USPS_PMEX,BULK_FEDx_FON,BULK_FEDx_PMON,BULK_FEDx_SON,BULK_FEDx_EXP,BULK_FEDx_GRND,BULK_FEDx_INT_PM,BULK_FEDx_INT_EC,BULK_UPS_NDAE,BULK_UPS_NDA,BULK_UPS_NDAS,BULK_UPS_2DAE,BULK_UPS_2DA,BULK_UPS_3DA,BULK_UPS_GRND,BULK_UPS_WWS,BULK_UPS_FRGH,BULK_USPS_INT
ANYDAY,527649,10028,,VIRTUAL,P_QRAILS_MC_35_61_SECORA_S_V01_v143,P_QRAILS_MC_35_61_SECORA_S,USPS,USPS_PM,USPS_PMEX,FEDx_FON,FEDx_PMON,FEDx_SON,FEDx_EXP,FEDx_GRND,FEDx_INT_PM,FEDx_INT_EC,UPS_NDAE,UPS_NDA,UPS_NDAS,UPS_2DAE,UPS_2DA,UPS_3DA,UPS_GRND,UPS_WWS,UPS_FRGH,USPS_INT,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_USPS_PMEX,BULK_FEDx_FON,BULK_FEDx_PMON,BULK_FEDx_SON,BULK_FEDx_EXP,BULK_FEDx_GRND,BULK_FEDx_INT_PM,BULK_FEDx_INT_EC,BULK_UPS_NDAE,BULK_UPS_NDA,BULK_UPS_NDAS,BULK_UPS_2DAE,BULK_UPS_2DA,BULK_UPS_3DA,BULK_UPS_GRND,BULK_UPS_WWS,BULK_UPS_FRGH,BULK_USPS_INT
ANYDAY,527649,10033,,,P_QRAILS_MC_35_61_SECORA_S_V01_v143,P_QRAILS_MC_35_61_SECORA_S,USPS,USPS_PM,USPS_PMEX,FEDx_FON,FEDx_PMON,FEDx_SON,FEDx_EXP,FEDx_GRND,FEDx_INT_PM,FEDx_INT_EC,UPS_NDAE,UPS_NDA,UPS_NDAS,UPS_2DAE,UPS_2DA,UPS_3DA,UPS_GRND,UPS_WWS,UPS_FRGH,USPS_INT,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_USPS_PMEX,BULK_FEDx_FON,BULK_FEDx_PMON,BULK_FEDx_SON,BULK_FEDx_EXP,BULK_FEDx_GRND,BULK_FEDx_INT_PM,BULK_FEDx_INT_EC,BULK_UPS_NDAE,BULK_UPS_NDA,BULK_UPS_NDAS,BULK_UPS_2DAE,BULK_UPS_2DA,BULK_UPS_3DA,BULK_UPS_GRND,BULK_UPS_WWS,BULK_UPS_FRGH,BULK_USPS_INT                          